"Var1"	"Var2"	"value"
"FXR1_exon"	"FMR1_exon"	0.539417381107203
"FXR2_exon"	"FMR1_exon"	0.661941153908872
"GNL3_exon"	"FMR1_exon"	0.306941812281307
"GTF2F1_exon"	"FMR1_exon"	0.259931237714933
"HNRNPA1_exon"	"FMR1_exon"	0.184338094385318
"HNRNPK_exon"	"FMR1_exon"	0.107458512951048
"HNRNPM_exon"	"FMR1_exon"	0.23123284387327
"HNRNPU_exon"	"FMR1_exon"	0.152932876116913
"HNRNPUL1_exon"	"FMR1_exon"	0.172727853296037
"IGF2BP1_exon"	"FMR1_exon"	0.300666540358692
"IGF2BP2_exon"	"FMR1_exon"	0.398501131447388
"ILF3_exon"	"FMR1_exon"	0.141140773136215
"KHDRBS1_exon"	"FMR1_exon"	0.145185235166837
"KHSRP_exon"	"FMR1_exon"	0.0308124479446934
"LARP7_exon"	"FMR1_exon"	0.275467726257703
"LIN28B_exon"	"FMR1_exon"	0.337792590195982
"LSM11_exon"	"FMR1_exon"	0.224836818469726
"NONO_exon"	"FMR1_exon"	0.192562950017156
"NPM1_exon"	"FMR1_exon"	0.266846616509147
"PRPF8_exon"	"FMR1_exon"	0.137724724319242
"PTBP1_exon"	"FMR1_exon"	0.253674451448566
"RBM22_exon"	"FMR1_exon"	0.189139319451102
"RBM27_exon"	"FMR1_exon"	0.277111874641381
"SAFB2_exon"	"FMR1_exon"	0.16275499250418
"SBDS_exon"	"FMR1_exon"	0.254989511123267
"SLBP_exon"	"FMR1_exon"	0.179405908410783
"SLTM_exon"	"FMR1_exon"	0.329151642214415
"SMNDC1_exon"	"FMR1_exon"	0.26647198922597
"SND1_exon"	"FMR1_exon"	0.314701499107626
"SRSF1_exon"	"FMR1_exon"	0.323022817214213
"TAF15_exon"	"FMR1_exon"	0.19081496180225
"TARDBP_exon"	"FMR1_exon"	0.28093265747516
"TNRC6A_exon"	"FMR1_exon"	0.404822321071064
"TRA2A_exon"	"FMR1_exon"	0.360637956060978
"TROVE2_exon"	"FMR1_exon"	0.25592245770289
"U2AF1_exon"	"FMR1_exon"	0.220080728279112
"U2AF2_exon"	"FMR1_exon"	0.127937137676376
"XRN2_exon"	"FMR1_exon"	0.247078669103078
"YWHAG_exon"	"FMR1_exon"	0.318708946110792
"AUH_exon"	"FXR1_exon"	0.221494034693864
"CPSF6_exon"	"FXR1_exon"	0.331500918852893
"CSTF2T_exon"	"FXR1_exon"	0.202677378574807
"DDX3X_exon"	"FXR1_exon"	0.291157259751363
"DDX42_exon"	"FXR1_exon"	0.229477180798231
"DGCR8_exon"	"FXR1_exon"	0.272734693121005
"EIF4G2_exon"	"FXR1_exon"	0.337838957898206
"FAM120A_exon"	"FXR1_exon"	0.333743639866587
"FMR1_exon"	"FXR1_exon"	0.539417381107203
"FXR1_exon"	"FXR1_exon"	1
"FXR2_exon"	"FXR1_exon"	0.559047977619328
"GNL3_exon"	"FXR1_exon"	0.325334491448054
"GTF2F1_exon"	"FXR1_exon"	0.27422177921112
"HNRNPA1_exon"	"FXR1_exon"	0.209117219619317
"HNRNPK_exon"	"FXR1_exon"	0.112952380357617
"HNRNPM_exon"	"FXR1_exon"	0.1781723847808
"HNRNPU_exon"	"FXR1_exon"	0.192312213378111
"HNRNPUL1_exon"	"FXR1_exon"	0.228555537061265
"IGF2BP1_exon"	"FXR1_exon"	0.355208570179109
"IGF2BP2_exon"	"FXR1_exon"	0.361024991265228
"ILF3_exon"	"FXR1_exon"	0.179248757603283
"KHDRBS1_exon"	"FXR1_exon"	0.211715019232155
"KHSRP_exon"	"FXR1_exon"	0.0687582589849703
"LARP7_exon"	"FXR1_exon"	0.220197724539916
"LIN28B_exon"	"FXR1_exon"	0.372450571942139
"LSM11_exon"	"FXR1_exon"	0.27001476630041
"NONO_exon"	"FXR1_exon"	0.198494148949784
"NPM1_exon"	"FXR1_exon"	0.287448401774244
"PRPF8_exon"	"FXR1_exon"	0.159045905030493
"PTBP1_exon"	"FXR1_exon"	0.27987959197877
"RBM22_exon"	"FXR1_exon"	0.200031186130355
"RBM27_exon"	"FXR1_exon"	0.293785626376178
"SAFB2_exon"	"FXR1_exon"	0.209075362291233
"SBDS_exon"	"FXR1_exon"	0.250774032509472
